,do,da,dz,db,sigma,iter,mask_ratio,recon_loss,act_mse,obs_mse,noi_mse
124,128,8,3,8,2.0,40000,0.0,0.2157861590385437,0.8972878456115723,1.014277696609497,0.6537051200866699
125,128,8,3,8,2.0,40000,0.01,0.2904483675956726,0.6262035369873047,1.0037208795547485,1.0106186866760254
126,128,8,3,8,2.0,40000,0.05,0.30638134479522705,0.6551371216773987,0.9942114353179932,1.0347235202789307
127,128,8,3,8,2.0,40000,0.1,0.3073948919773102,0.6445658802986145,1.0057891607284546,1.056689977645874
128,128,8,4,8,2.0,40000,0.0,0.17638863623142242,0.9788448214530945,1.0003349781036377,0.4826083183288574
129,128,8,4,8,2.0,40000,0.01,0.31010520458221436,0.5312503576278687,0.9866892695426941,1.0941927433013916
130,128,8,4,8,2.0,40000,0.05,0.27710551023483276,0.5322762131690979,1.0105332136154175,0.9691755175590515
131,128,8,4,8,2.0,40000,0.1,0.28719258308410645,0.46257370710372925,1.0079054832458496,1.0217292308807373
132,128,8,5,8,2.0,40000,0.0,0.14622065424919128,0.9307042360305786,0.9963842630386353,0.3787621259689331
133,128,8,5,8,2.0,40000,0.01,0.2749822735786438,0.4047093391418457,0.9972301125526428,0.9813556671142578
134,128,8,5,8,2.0,40000,0.05,0.2739448845386505,0.38161757588386536,1.0056626796722412,0.9986039400100708
135,128,8,5,8,2.0,40000,0.1,0.2757558226585388,0.3471318483352661,1.0148274898529053,1.0126696825027466
136,128,8,6,8,2.0,40000,0.0,0.12467285990715027,0.9483786821365356,0.9854919910430908,0.2795778214931488
137,128,8,6,8,2.0,40000,0.01,0.2726418375968933,0.2550601363182068,0.9928622841835022,1.0299675464630127
138,128,8,6,8,2.0,40000,0.05,0.2754879295825958,0.24239438772201538,0.9995604753494263,1.0208368301391602
139,128,8,6,8,2.0,40000,0.1,0.2586233615875244,0.23757413029670715,1.000763177871704,0.9640262126922607
140,128,8,7,8,2.0,40000,0.0,0.08525660634040833,0.9738053679466248,1.0078845024108887,0.13051505386829376
141,128,8,7,8,2.0,40000,0.01,0.25178852677345276,0.13688147068023682,0.9998968839645386,0.9760119318962097
142,128,8,7,8,2.0,40000,0.05,0.2639491856098175,0.1311553567647934,1.0051419734954834,1.0109083652496338
143,128,8,7,8,2.0,40000,0.1,0.26753145456314087,0.12069850414991379,0.9971383213996887,1.0330896377563477
144,128,8,8,8,2.0,40000,0.0,0.05789177119731903,0.9750810265541077,1.0124751329421997,0.03103700652718544
145,128,8,8,8,2.0,40000,0.01,0.2589859664440155,0.009699867106974125,1.0028831958770752,1.028980016708374
146,128,8,8,8,2.0,40000,0.05,0.26188552379608154,0.00269895326346159,0.9991735219955444,1.0418877601623535
147,128,8,8,8,2.0,40000,0.1,0.2299063354730606,0.0027517068665474653,1.0179002285003662,0.9178722500801086
148,128,8,9,8,2.0,40000,0.0,0.05658690631389618,0.9240173697471619,0.9780328273773193,0.023700270801782608
